,AIQ,R2_log_ros_p,R2_ros_p,corr_log_ros_p,corr_ros_p,cv,entropy,kurtosis,max,max_entropy,mean,median,min,mode,mode2,mode2_freq,mode2_pct,mode_freq,mode_pct,n,n_missing,n_negative,n_positive,n_total,n_unique,n_zeros,normality_p,normality_stat,pct_complete,pct_missing,pct_negative,pct_positive,pct_unique,pct_zeros,q25,q75,range,rel_entropy,sem,shapiro_p,shapiro_stat,skewness,std,var,VIF,var_type
1_3y_fir_p,0.0,0.008845541631719613,0.0033913127074832023,-0.09405073966598887,-0.05823497838484361,437.2722688521856,,42.223673657431206,95.55921052631578,,2.1426485001894395,0.0,0.0,,,,,,,1173,0,0.0,238.0,1173,,935.0,8.678692753114296e-300,1377.2293139707267,100.0,0.0,0.0,20.28985507246377,,79.71014492753623,0.0,0.0,95.55921052631578,,0.27356079745688033,4.117092403194216e-56,0.24241372027005825,6.144287148725991,9.36920771030569,87.78205311885158,1.00340285284558,numeric
3_8y_fir_p,6.169940222032451,5.916796595340901e-07,2.4550153495690802e-06,-0.0007692071629503265,0.0015668488598359065,213.6381353443121,,5.333881737465099,100.0,,10.138773975134056,0.0,0.0,,,,,,,1173,0,0.0,458.0,1173,,715.0,6.900685115497559e-128,585.5985424089254,100.0,0.0,0.0,39.045183290707584,,60.954816709292416,0.0,6.169940222032451,100.0,,0.6324340062266832,6.656074559918596e-48,0.5402777855795121,2.465804966510193,21.66028766725079,469.1680618280566,1.0000024550213766,numeric
8_ny_fir_p,71.59864425928542,0.005495675897993879,0.0030685313855457652,-0.07413282604888255,-0.0553943262938161,62.95912303748561,,-1.3497804789878545,100.0,,59.088471181121044,71.42857142857143,0.0,,,,,,,1173,0,0.0,1015.0,1173,,158.0,0.0,12133.654024080728,100.0,0.0,0.0,86.53026427962489,,13.469735720375105,23.195876288659793,94.79452054794521,100.0,,1.086206550349289,2.3678543427702828e-31,0.8567049984177979,-0.444068865811821,37.201583271891224,1383.9577979354567,1.00307797625228,numeric
BLH_m_av,859.1252099148367,0.07058763537396259,0.02383778966484214,0.2656833366509134,0.15439491463400645,82.31102471337412,,0.9731690611709158,3393.548505859384,,818.4914708419464,580.1289127747516,14.650132637023953,,,,,,,1173,0,0.0,1173.0,1173,,0.0,1.287798506785238e-44,202.12161983025004,100.0,0.0,0.0,100.0,,0.0,339.1611708551624,1198.2863807699991,3378.89837322236,,19.670851531032966,5.547390798166896e-28,0.8911227153743947,1.177582362390785,673.7087168415738,453883.43514832,1.0244199062537542,numeric
BLH_m_rt,193.79704012417704,0.002969846309702736,0.0018106849635494502,0.05449629629344306,0.04255214405349571,125.55646877525652,,18.619301708311596,2414.4026662705037,,194.88452667879716,124.12705123133173,0.098366546630984,,,,,,,1061,112,0.0,1061.0,1173,,0.0,2.1589256367348564e-181,831.9965822487327,90.45183290707587,9.548167092924126,0.0,90.45183290707587,,0.0,50.467182006834776,244.26422213101182,2414.3042997238726,,7.512055009505284,3.5935652896564195e-41,0.6697439370397033,3.5041925663794107,244.69012988727042,59873.259664249264,1.0018139694908308,numeric
CBH_m_av,2939.1580763428237,0.010605830556605555,0.018178914800953332,0.10298461320316524,0.1348292060384297,51.662370724712694,,-0.26682465754411844,11352.208281249976,,4602.932904650385,4101.429565429713,42.78189392089698,,,,,,,607,566,0.0,607.0,1173,,0.0,5.73901538652834e-07,28.741615981577514,51.747655583972715,48.252344416027285,0.0,51.747655583972715,,0.0,3015.138642027149,5954.296718369973,11309.426387329078,,96.51940375221756,1.4803590002093686e-11,0.9612766190123969,0.5394890464548802,2377.984261410268,5654809.147514938,1.0185155066182632,numeric
CCL_hPa_av,170.71826676181252,0.0069886161841301265,0.009413275891640215,-0.08359794365969851,-0.09702203817504668,17.123755237249622,,-0.7023432657633029,949.9837475198747,,731.9142508506983,704.961169950619,441.5420052208168,,,,,,,1173,0,0.0,1173.0,1173,,0.0,8.738091194593596e-19,83.16284999971965,100.0,0.0,0.0,100.0,,0.0,650.027110222247,820.7453769840595,508.44174229905786,,3.6594027380382057,1.4533024767100824e-23,0.9261527429247799,0.3439295415657964,125.33120486222279,15707.91091221646,1.0095027276891009,numeric
CMLG_av,0.825784503346197,0.009245495120690868,0.006555248732988588,0.09615349770388422,0.08096449056832623,40.177918649035625,,-0.18708001810145314,3.331496333864177,,1.5423896808879332,1.521746171210896,-0.085039705359199,,,,,,,1173,0,1.0,1172.0,1173,,0.0,0.002965220857021885,11.641607522544364,100.0,0.0,0.08525149190110827,99.9147485080989,,0.0,1.112500000339935,1.938284503686132,3.4165360392233763,,0.018093914759255206,0.00013800453744590443,0.9941014191639683,0.22454651626016664,0.619700071238274,0.3840281782927218,1.0065985035651235,numeric
Cape_av,55.31399999999631,0.06507276018799313,0.03461368337028813,-0.25509363023798365,-0.1860475298688164,225.0077870040676,,9.181210223175386,1272.1249999999118,,92.35172457861395,0.007497391186076,0.0,,,,,,,1173,0,0.0,608.0,1173,,565.0,8.843848205196048e-161,737.0729557455701,100.0,0.0,0.0,51.83290707587383,,48.16709292412617,0.0,55.31399999999631,1272.1249999999118,,6.0672732158071625,1.1192371190052733e-48,0.5172293260686301,2.9573366723348946,207.79857173443085,43180.246414869405,1.035854748274379,numeric
Cin_av,264.13642130316583,0.00011260079767155798,0.0019440490058547357,0.010611352301736003,0.04409137110427318,-84.0116205163464,,-0.41026271962690863,0.949929045741075,,-205.59228575589938,-173.92586847626166,-609.6072793043791,,,,,,,44,1129,42.0,2.0,1173,,0.0,0.17260335493923462,3.5135181257336487,3.751065643648764,96.24893435635123,3.580562659846547,0.17050298380221654,,0.0,-316.58116986923926,-52.444748566073415,610.5572083501202,,26.03873242194821,0.006098821020005733,0.9231993846840365,-0.646279099191575,172.72141092012868,29832.685790239942,1.0019478356938991,numeric
